Layer,Name,GEOID,Population,Longitude,Latitude,POP_2018-2022,POP_2018-2022_moe,PCT-W_2018-2022,PCT-W_2018-2022_moe,HDAL_2022,HDAL_2022_moe,HDALR_2022,HDALR_2022_moe,EDB_2018-2022,EDB_2018-2022_moe,UMP_2018-2022,UMP_2018-2022_moe,HDDIA_2022,HDDIA_2022_moe,HDDIAR_2022,HDDIAR_2022_moe,FAI_2022,FAI_2022_moe,LFA_2019,LFA_2019_moe,UNI_2018-2022,UNI_2018-2022_moe,UNS_2018-2022,UNS_2018-2022_moe,SNP_2018-2022,SNP_2018-2022_moe,SNQ_2018-2022,SNQ_2018-2022_moe
(Indicator name),,,,,,"Population (residents), 2018-2022",(90% margin of error),"Demographics, Non-Hispanic White (% of residents), 2018-2022",(90% margin of error),"Alcohol-related hospitalizations (count of hospitalizations), 2022",(90% margin of error),"Alcohol-related hospitalization rate (per 10,000 population), 2022",(90% margin of error),"High school graduation rate (% of residents), 2018-2022",(90% margin of error),"Unemployment rate (%), 2018-2022",(90% margin of error),"Diabetes-related hospitalizations (count of hospitalizations), 2022",(90% margin of error),"Diabetes-related hospitalization rate (per 10,000 population), 2022",(90% margin of error),"Food insecurity (% of residents), 2022",(90% margin of error),"Low food access (% of residents), 2019",(90% margin of error),"Uninsured residents (residents), 2018-2022",(90% margin of error),"Uninsured rate (% of residents), 2018-2022",(90% margin of error),"Food stamps (SNAP) (% of households), 2018-2022",(90% margin of error),"Households in poverty not receiving food stamps (SNAP) (% of households below the poverty line), 2018-2022",(90% margin of error)
(Definition),,,,,,"Average population over the time period.",,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.",,"Number of inpatient hospitalization discharges due to alcohol-relateddisease, injury or conditions.",,"Age-adjusted rate of alcohol-related hospitalization discharges, excluding discharges to Veterans Administration hospitals.",,"Residents 25 or older with at least a high school degree: including GED and any higher education",,"Percent of residents 16 and older in the civilian labor force who are actively seeking employment.",,"Number of inpatient hospitalization discharges, excluding discharges to Veterans Administration hospitals, due to diabetes mellitus with or without related complications.",,"Age-adjusted rate of diabetes-related hospitalization discharges, excluding discharges to Veterans Administration hospitals.",,"Percentage of the population experiencing food insecurity at some point. Food insecurity is the household-level economic and social condition of limited or uncertain access to adequate food, as represented in USDA food-security reports. 2020 data is a projection based on 11.5% national unemployment and 16.5% national poverty rate.",,"Percent of residents who have low access to food, defined solely by distance: further than 1/2 mile from the nearest supermarket in an urban area, or further than 10 miles in a rural area.",,"Number of residents without health insurance.",,"Percent of residents without health insurance (at the time of the survey).",,"Percent of households receiving Supplemental Nutrition Assistance Program (SNAP) benefits, formerly known as food stamps, over the past 12 months.",,"Percent of households with income in the past 12 months below the poverty level who did not receive food stamps/SNAP in the past 12 months.",
(Citation),,,,,,"American Community Survey (ACS: Table B01001; Decennial Census: Table P012)",,"American Community Survey (Table B01001)",,"Illinois Department of Public Health, Hospital Discharge Data",,"Illinois Department of Public Health, Hospital Discharge Data",,"American Community Survey (Table B15002)",,"American Community Survey (Tables B23025, B23001, and C23002)",,"Illinois Department of Public Health, Hospital Discharge Data",,"Illinois Department of Public Health, Hospital Discharge Data",,"Map the Meal Gap (Map the Meal Gap 2020)",,"USDA, Economic Research Service, Food Access Research Atlas (Food Access Research Atlas)",,"American Community Survey (Tables B27001/C27001)",,"American Community Survey (Tables B27001/C27001)",,"American Community Survey (Tables B22003, B22005, and S2201)",,"American Community Survey (Table B22003)",
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Zip code,60601,60601,15814,-87.62209200,41.88530300,16398.0,1721.0,52.76253201609953,6.546221422721316,23.0,,13.0,4.825892857163,97.31182795698923,3.684767519332293,2.762923351158645,2.256038196880616,,,,,10.4,,0.0,,999.0,425.90961482455407,6.097412109375,2.5193146185450663,0.0,0.2053610030263727,100.0,91.70326784584364
Zip code,60602,60602,1261,-87.62914800,41.88307300,938.0,494.99999999999994,27.50533049040512,6.453020537468193,,,,,100.0,67.3664809728275,7.584269662921349,16.735611057547178,,,,,11.3,,0.0,,0.0,50.91168824543142,0.0,5.427685314011878,12.393162393162394,23.3575704080216,100.0,164.5
Zip code,60603,60603,1288,-87.62550900,41.88018800,1110.0,319.0,51.08108108108108,7.699271088278311,,,,,100.0,46.17507569917459,4.144385026737968,9.039896805558014,,,,,9.8,,0.0,,61.0,60.6217782649107,5.495495495495495,5.228080137827035,0.0,1.7804154302670623,100.0,111.69136081760759
Zip code,60604,60604,897,-87.62846100,41.87809500,737.0,197.0,70.28493894165535,16.027209280338663,,,,,98.04878048780488,39.03105285150932,8.19672131147541,13.905611473659327,,,,,13.0,,0.0,,7.0,50.91168824543142,0.949796472184532,6.903296261268287,0.0,2.6548672566371683,100.0,90.16385114111408
Zip code,60605,60605,34071,-87.61722800,41.86756600,34314.0,2076.0,54.67447688989917,3.9542152381186764,34.0,,11.7,3.3991071428370003,96.17894458903852,4.076583111412739,6.633927802188334,2.057979946584935,19.0,,6.5,2.5178571428605,11.4,,1.051911052328199,,1458.0,467.44197500866346,4.329749955455248,1.3622079977160255,5.0751979592921295,2.45016701084529,95.35423925667828,9.12370808082051
Zip code,60606,60606,3797,-87.63735300,41.88206000,3513.0,704.0,58.7247366922858,16.17838348215005,,,,,99.32614555256065,3.9313969952108163,3.704866562009419,2.695777226281432,,,,,10.9,,0.0,,178.0,127.75758294520132,5.066894392257329,3.4920793377518957,0.0,0.45011252813203295,100.0,76.88872456796318
